date,open,high,low,close,volume
2024-01-02,100.00,102.50,99.80,101.20,1250000
2024-01-03,101.50,103.80,100.50,103.20,1380000
2024-01-04,103.50,104.20,102.80,103.80,1150000
2024-01-05,104.00,105.50,103.20,105.10,1420000
2024-01-08,105.50,106.80,104.50,106.20,1580000
2024-01-09,106.50,107.20,105.80,106.90,1320000
2024-01-10,107.00,108.50,106.50,108.10,1450000
2024-01-11,108.50,109.80,107.20,109.50,1620000
2024-01-12,109.80,111.20,108.50,110.80,1750000
2024-01-16,111.00,112.50,110.20,112.00,1580000
2024-01-17,112.50,113.80,111.50,113.20,1420000
2024-01-18,113.50,114.50,112.80,114.10,1350000
2024-01-19,114.20,115.80,113.50,115.20,1520000
2024-01-22,115.50,116.90,114.80,116.50,1680000
2024-01-23,116.80,118.20,116.00,117.80,1820000
2024-01-24,118.00,119.50,117.20,119.10,1750000
2024-01-25,119.20,120.80,118.50,120.30,1650000
2024-01-26,120.50,121.90,119.80,121.50,1580000
2024-01-29,121.80,123.20,121.00,122.80,1720000
2024-01-30,123.00,124.50,122.20,124.00,1850000
