order_id,user_id,product,region,amount,order_date
ORD00001,1234,手机,北京,2500,2024-01-01
ORD00002,5678,电脑,上海,8999,2024-01-02
ORD00003,1234,耳机,北京,299,2024-01-03
ORD00004,9012,平板,广州,3499,2024-01-04
ORD00005,5678,充电器,上海,129,2024-01-05
ORD00006,1234,电脑,北京,7999,2024-01-06
ORD00007,9012,手机,广州,3299,2024-01-07
ORD00008,5678,平板,上海,2999,2024-01-08
ORD00009,1234,耳机,北京,399,2024-01-09
ORD00010,9012,充电器,广州,99,2024-01-10
ORD00011,4321,手机,深圳,2999,2024-01-11
ORD00012,8765,电脑,杭州,6999,2024-01-12
ORD00013,4321,平板,深圳,3199,2024-01-13
ORD00014,8765,耳机,杭州,249,2024-01-14
ORD00015,4321,充电器,深圳,89,2024-01-15
ORD00016,8765,手机,杭州,2799,2024-01-16
ORD00017,1234,电脑,北京,9999,2024-01-17
ORD00018,5678,平板,上海,3299,2024-01-18
ORD00019,9012,耳机,广州,349,2024-01-19
ORD00020,4321,充电器,深圳,119,2024-01-20
